policy,d,seed_idx,beta,r2
online_softmax_best_arm,8,1,0.9267736427327178,0.9992184466730268
softmax_best_arm,8,1,1.042110774542057,0.9985038908877262
cluster_label_router,8,1,1.0144735446494202,0.9994978532670288
linucb_raw_alpha_0p5,8,1,0.9451820702790091,0.9994691073966404
linucb_raw_alpha_1,8,1,0.9388035113212158,0.9995400659729998
linucb_raw_alpha_2,8,1,0.9496423577997986,0.9994350232093683
linucb_raw_alpha_4,8,1,0.92328042481602,0.999503999757239
linucb_raw_alpha_8,8,1,0.9478726572815078,0.9998229455214792
linucb_raw,8,1,0.9388035113212158,0.9995400659729998
uniform,8,2,0.9997127932528663,0.9995725686395129
epsilon_greedy,8,2,0.9379445892173178,0.9986558268477289
online_softmax_best_arm,8,2,0.9089176177511301,0.9995887150415748
softmax_best_arm,8,2,0.9868533317596316,0.9995314583847401
cluster_label_router,8,2,0.99786793663165,0.9998710475108284
linucb_raw_alpha_0p5,8,2,0.9229847204962165,0.9993175192222599
linucb_raw_alpha_1,8,2,0.9116830723598572,0.9985569418089927
linucb_raw_alpha_2,8,2,0.9019212670978398,0.9993330210285889
linucb_raw_alpha_4,8,2,0.9084026499012335,0.9994611888789897
linucb_raw_alpha_8,8,2,0.9103651852744706,0.9997544388562568
linucb_raw,8,2,0.9116830723598572,0.9985569418089927
uniform,8,3,1.016732158368135,0.9997052130223447
epsilon_greedy,8,3,0.9689199192950819,0.999408640441332
online_softmax_best_arm,8,3,0.9184744271166915,0.9993811962351039
softmax_best_arm,8,3,0.9965724934875128,0.9996711683274513
cluster_label_router,8,3,1.007141646803154,0.9996463634694558
linucb_raw_alpha_0p5,8,3,0.9791946353683225,0.9995751120960724
linucb_raw_alpha_1,8,3,0.9488648353126525,0.9996949972337358
linucb_raw_alpha_2,8,3,0.9572832082567048,0.9998800021137885
linucb_raw_alpha_4,8,3,0.9630754390605036,0.9997107070349451
linucb_raw_alpha_8,8,3,0.9829343319025209,0.9993841275640546
linucb_raw,8,3,0.9488648353126525,0.9996949972337358
uniform,8,4,1.0148571527354338,0.999811491530435
epsilon_greedy,8,4,0.9740963177878689,0.9998919206987844
online_softmax_best_arm,8,4,0.95197021627622,0.9992473729766604
softmax_best_arm,8,4,1.0047295380496617,0.9990891352372494
cluster_label_router,8,4,1.0186755751471375,0.9997256432675248
linucb_raw_alpha_0p5,8,4,0.9903724407255059,0.9994749103771001
linucb_raw_alpha_1,8,4,0.9817070019513237,0.9997267411403894
linucb_raw_alpha_2,8,4,0.9710900817026472,0.9989657793864162
linucb_raw_alpha_4,8,4,0.9886495092618298,0.9992860477510254
linucb_raw_alpha_8,8,4,0.9917838308689708,0.9992252653975842
linucb_raw,8,4,0.9817070019513237,0.9997267411403894
